Astrid,艾絲翠得,丹麥,神聖的力量；星星的。
Melissa,蒙麗莎,希臘,蜂蜜。
Moira,茉伊拉,希臘,命運。
Mona,夢娜,希臘,孤獨；高貴；唯一的，獨特的；荒地
Nicola,妮可拉,希臘,勝利。
Nicole,妮可,希臘,勝利者
Ophelia,奧菲莉亞,希臘,幫助者；援助者；蛇。
Page,蓓姬,希臘,孩子。
Penelope,潘娜洛普,希臘,織布者；沈默的編織者。
Penny,潘妮,希臘,沈默的編織者。
Philipppa,菲莉帕,希臘,愛馬者
Phoebe,菲碧,希臘,會發亮之物，顯赫的人，月之女神。
Phoenix,菲妮克絲,希臘,年輕的女人。
Phyllis,菲麗絲,希臘,嫩枝，小花瓣，綠色小樹枝。
Sandra,珊朵拉,希臘,人類的保衛者。
Sandy,仙蒂,希臘,人類的保衛者。
Sebastiane,莎芭絲提安,希臘,受尊重的或受尊崇的。
Sibyl,希貝兒,希臘,女預言家。
Sophia,蘇菲亞,希臘,智慧的人。
Stacey,史黛絲,希臘,會再度振作起來之人。
Stephanie,絲特芬妮,希臘,王冠；花環；榮譽的標誌。
Tabitha,泰貝莎,希臘,小雌鹿。
Tammy,泰蜜,希臘,太陽神。
Thera,席拉,希臘,指野女孩。
Theresa,泰麗莎,希臘,收獲。
Tina,蒂娜,希臘,嬌小玲瓏的人。
Vanessa,瓦妮莎,希臘,蝴蝶。
Venus,維納斯,希臘,愛與美的女神。
Verna,維娜,希臘,春天的美女；賦於美麗的外表。
Veromca,維隆卡,希臘,勝利者。
Veronica,維拉妮卡,希臘,帶來勝利訊息者。
Xanthe,桑席,希臘,金黃色頭髮的。
Xenia,芝妮雅,希臘,好客。
Zoe,若伊,希臘,生命。
Agnes,愛葛妮絲,希臘，拉丁,純潔，高雅，貞節
Helen,海倫,希臘，拉丁,火把；光亮的。
Coral,卡洛兒,希臘，法國,珊瑚或贈品，彩石。
Ellen,艾倫,希臘、拉丁,火把
Daphne,黛芙妮,希臘神話,月桂樹；桂冠。
Nelly,內麗,希麗、拉丁,火把。
Alva,阿爾娃,拉丁,白皙的。
Amanda,阿曼達,拉丁,值得愛的。
Amelia,阿蜜莉雅,拉丁,勤勉的，勞動的。
April,艾譜莉,拉丁,春天，大地初醒之時。
Aurora,奧蘿拉,拉丁,黎明女神
Beatrice,碧翠絲,拉丁,為人祈福或使人快樂的女孩
Bella,貝拉,拉丁,美麗的
Bonnie,邦妮,拉丁,甜美、漂亮、優雅而善良的人。
Camille,卡蜜拉,拉丁,好品性的高貴女子。
Candance,坎蒂絲,拉丁,熱情，坦誠，純潔的。
Candice,坎蒂絲,拉丁,熱情，坦誠，純潔的。
Cecilia,塞西莉亞,拉丁,視力朦朧的人，失明的。
Celeste,莎莉絲特,拉丁,最幸福的人，天國的。
Claire,克萊兒,拉丁,燦爛的；明亮的；聰明的。
Clara,克萊拉,拉丁,明亮的；聰明的。
Clementine,克萊曼婷,拉丁,溫柔且仁慈的人。
Constance,康斯坦絲,拉丁,堅定忠實的人。
Diana,黛安娜,拉丁,光亮如白畫；月亮女神
Dolores,多洛莉絲,拉丁,悲傷，痛苦或遺憾。
Dominic,多明尼卡,拉丁,屬於上帝的。
Donna,唐娜,拉丁,貴婦，淑女，夫人。
Elvira,艾薇拉,拉丁,小精靈，白種人的。
Faithe,費滋,拉丁,忠實可信的人。
Flora,弗羅拉,拉丁,花；花之神
Gill,姬兒,拉丁,少女。
Gloria,葛羅瑞亞,拉丁,榮耀者，光榮者。
Hilary,希拉瑞莉,拉丁,快樂的。
Ina,艾娜,拉丁,母親。
Iris,愛莉絲,拉丁,彩虹女神；鳶尾花。
Jamie,婕咪,拉丁,取而代之者。
Jocelyn,賈思琳,拉丁,愉快的；快樂的
Joy,喬伊,拉丁,欣喜；快樂
Joyce,喬伊絲,拉丁,快樂的；歡樂的。
Julia,朱麗亞,拉丁,頭髮柔軟的；年輕。
Juliet,朱麗葉,拉丁,頭髮柔軟的；年輕的。
June,朱恩,拉丁,六月。
Laura,羅拉,拉丁,月桂樹；勝利。
Laurel,羅瑞爾,拉丁,月桂樹；勝利。
Lauren,羅倫,拉丁,月桂樹。
Lena,莉娜,拉丁,寄宿；寓所。
Leona,李奧娜,拉丁,獅。
